Item_Code,Material_Code,Qty,T_B,Package,Cell
EP94-04820A,0202-001950,1,SB,P0804,1.0
EP94-04820A,0202-001950,1,SB,P0804,1.0
EP94-04820A,0202-001950,1,SB,P0804,1.0
EP94-04820A,0202-001950,1,SB,P0804,1.0
EP94-04820A,0202-001950,1,SB,P0804,1.0
EP94-04820A,0202-001950,1,SB,P0804,1.0
EP94-04820A,0202-001950,1,SB,P0804,1.0
EP94-04820A,0202-001950,1,SB,P0804,1.0
EP94-04820A,0202-001950,1,SB,P0804,1.0
EP94-04820A,0202-001950,1,SB,P0804,1.0
EP94-04820A,0202-001950,1,SB,P0804,1.0
EP94-04820A,0202-001950,1,SB,P0804,1.0
EP94-04820A,0202-001950,1,SB,P0804,1.0
EP94-04820A,0202-001950,1,SB,P0804,1.0
EP94-04820A,0202-001950,1,SB,P0804,1.0
EP94-04820A,0202-001950,1,SB,P0804,1.0
EP94-04820A,0202-001950,1,SB,P0804,1.0
EP94-04820A,0202-001950,1,SB,P0804,1.0
EP94-04820A,0401-000132,1,SB,E0804_L,1
EP94-04820A,0401-000132,1,SB,E0804_L,1
EP94-04820A,0401-000132,1,SB,E0804_L,1
EP94-04820A,0401-000132,1,SB,E0804_L,1
EP94-04820A,0401-000132,1,SB,E0804_L,1
EP94-04820A,0401-001089,1,SB,E0804_L,1
EP94-04820A,0401-001089,1,SB,E0804_L,1
EP94-04820A,0401-001089,1,SB,E0804_L,1
EP94-04820A,0401-001089,1,SB,E0804_L,1
EP94-04820A,0401-001089,1,SB,E0804_L,1
EP94-04820A,0401-001089,1,SB,E0804_L,1
EP94-04820A,0401-001089,1,SB,E0804_L,1
EP94-04820A,0401-001089,1,SB,E0804_L,1
EP94-04820A,0401-001089,1,SB,E0804_L,1
EP94-04820A,0401-001089,1,SB,E0804_L,1
EP94-04820A,0401-001089,1,SB,E0804_L,1
EP94-04820A,0401-001089,1,SB,E0804_L,1
EP94-04820A,0401-001089,1,SB,E0804_L,1
EP94-04820A,0404-001172,1,SB,E0804_L,1
EP94-04820A,0404-001172,1,SB,E0804_L,1
EP94-04820A,0404-001901,1,SB,E0804_L,1
EP94-04820A,0404-001901,1,SB,E0804_L,1
EP94-04820A,0404-001901,1,SB,E0804_L,1
EP94-04820A,0404-001901,1,SB,E0804_L,1
EP94-04820A,0404-001901,1,SB,E0804_L,1
EP94-04820A,0404-001962,1,SB,E1608_L,2.1
EP94-04820A,0404-001962,1,SB,E1608_L,2.1
EP94-04820A,0406-001070,1,SB,E1208_L,2.1
EP94-04820A,0406-001070,1,SB,E1208_L,2.1
EP94-04820A,0406-001070,1,SB,E1208_L,2.1
EP94-04820A,0406-001373,1,SB,M0804_L,1
EP94-04820A,0406-001373,1,SB,M0804_L,1
EP94-04820A,0501-000465,1,SB,E0804_L,1
EP94-04820A,0501-000465,1,SB,E0804_L,1
EP94-04820A,0501-000465,1,SB,E0804_L,1
EP94-04820A,0501-000465,1,SB,E0804_L,1
EP94-04820A,0501-000465,1,SB,E0804_L,1
EP94-04820A,0501-000476,1,SB,E0804_L,1
EP94-04820A,0501-000476,1,SB,E0804_L,1
EP94-04820A,0501-000476,1,SB,E0804_L,1
EP94-04820A,0501-000476,1,SB,E0804_L,1
EP94-04820A,0505-001477,1,SB,E1608_L,2.1
EP94-04820A,0505-001477,1,SB,E1608_L,2.1
EP94-04820A,0505-003397,1,SB,E0804_L,1
EP94-04820A,0505-003443,1,SB,E2416_L,3
EP94-04820A,0505-003824,1,SB,E0804,1
EP94-04820A,0505-003824,1,SB,E0804,1
EP94-04820A,0505-003824,1,SB,E0804,1
EP94-04820A,0505-003824,1,SB,E0804,1
EP94-04820A,0601-004011,1,SB,E0804,1
EP94-04820A,0601-004011,1,SB,E0804,1
EP94-04820A,0601-004011,1,SB,E0804,1
EP94-04820A,0601-004011,1,SB,E0804,1
EP94-04820A,0604-001408,1,SB,E1208_L,2.1
EP94-04820A,0604-001408,1,SB,E1208_L,2.1
EP94-04820A,0604-001408,1,SB,E1208_L,2.1
EP94-04820A,0604-001408,1,SB,E1208_L,2.1
EP94-04820A,1001-001995,1,SB,E1208_L,2.1
EP94-04820A,1001-001995,1,SB,E1208_L,2.1
EP94-04820A,1001-002177,1,SB,E0804,1
EP94-04820A,1001-002177,1,SB,E0804,1
EP94-04820A,1001-002177,1,SB,E0804,1
EP94-04820A,1001-002177,1,SB,E0804,1
EP94-04820A,1001-002177,1,SB,E0804,1
EP94-04820A,1001-002177,1,SB,E0804,1
EP94-04820A,1001-002177,1,SB,E0804,1
EP94-04820A,1001-002177,1,SB,E0804,1
EP94-04820A,1001-002177,1,SB,E0804,1
EP94-04820A,1001-002177,1,SB,E0804,1
EP94-04820A,1001-002177,1,SB,E0804,1
EP94-04820A,1001-002177,1,SB,E0804,1
EP94-04820A,1001-002177,1,SB,E0804,1
EP94-04820A,1001-002177,1,SB,E0804,1
EP94-04820A,1001-002177,1,SB,E0804,1
EP94-04820A,1001-002177,1,SB,E0804,1
EP94-04820A,1003-002942,1,SB,E1208_L,2.1
EP94-04820A,1006-001608,1,SB,E1208_L,2.1
EP94-04820A,1105-003186,1,SB,E2416,3
EP94-04820A,1105-003204,1,SB,E2412,3
EP94-04820A,1105-003204,1,SB,E2412,3
EP94-04820A,1105-003205,1,SB,E2412,3
EP94-04820A,1107-002848,1,SB,1107-002848_0814,1
EP94-04820A,1107-002869,1,SB,1107-002869_1630,1
EP94-04820A,1201-004234,1,SB,E0804_L,1
EP94-04820A,1201-004234,1,SB,E0804_L,1
EP94-04820A,1201-004234,1,SB,E0804_L,1
EP94-04820A,1203-005714,1,SB,E1612_L,2.1
EP94-04820A,1203-006936,1,SB,E0804_L,1
EP94-04820A,1203-009074,1,SB,E1208_L,2.1
EP94-04820A,1203-009074,1,SB,E1208_L,2.1
EP94-04820A,1203-009074,1,SB,E1208_L,2.1
EP94-04820A,1203-009074,1,SB,E1208_L,2.1
EP94-04820A,1203-009475,1,SB,1203-009475_0821,1
EP94-04820A,1203-009581,1,SB,E1208_L,2.1
EP94-04820A,1203-009581,1,SB,E1208_L,2.1
EP94-04820A,1205-006122,1,SB,E2420,3
EP94-04820A,1205-006655,1,SB,E4424,5
EP94-04820A,1209-002472,1,SB,E1208_L,2.1
EP94-04820A,1209-002472,1,SB,E1208_L,2.1
EP94-04820A,1209-002472,1,SB,E1208_L,2.1
EP94-04820A,1209-002842,1,SB,E1208,2.1
EP94-04820A,1301-002320,1,SB,1301-002320_0206,1
