Job Name,EP94-04794A_PP3235-77A_B_01B,Type,Board No.,Ref.,Pos X,Pos Y,Mark Name,ASSIGN,,,,,,
X,360,Fiducial,0,V1,57.900,36.900,M1,NXT16M,,,,,,
Y,159,Fiducial,0,V2,26.000,133.500,M1,NXT16M,,,,,,
T,2,Fiducial,0,V3,337.600,17.500,M1,NXT16M,,,,,,
,,Panel ID,0,PID,287.500,18.500,2D Label,,,,,,,
Level,Ref.,Pos X,Pos Y,,,,,,,,,,,
Global,BackupPin1,,,,,,,,,,,,,
Global,BackupPin2,,,,,,,,,,,,,
Global,BackupPin3,,,,,,,,,,,,,
Global,BackupPin4,,,,,,,,,,,,,
Global,BackupPin5,,,,,,,,,,,,,
Global,BackupPin6,,,,,,,,,,,,,
Global,BackupPin7,,,,,,,,,,,,,
Global,BackupPin8,,,,,,,,,,,,,
Global,BackupPin9,,,,,,,,,,,,,
Global,BackupPin10,,,,,,,,,,,,,
Global,BackupPin11,,,,,,,,,,,,,
Global,BackupPin12,,,,,,,,,,,,,
Global,BackupPin13,,,,,,,,,,,,,
Global,BackupPin14,,,,,,,,,,,,,
Global,BackupPin15,,,,,,,,,,,,,
Global,BackupPin16,,,,,,,,,,,,,
Global,BackupPin17,,,,,,,,,,,,,
Global,BackupPin18,,,,,,,,,,,,,
Global,BackupPin19,,,,,,,,,,,,,
Global,BackupPin20,,,,,,,,,,,,,
Ref.,Pos X,Pos Y,Rotation,Part Number,Place Before,Board,Part Name,Cond,Vender,Feeder,Pos Z,Carry Mode,Stack Target,
C140,206.600,16.500,90,2203-010086,,1,R5750_CAP_ms_V2,SMD,,E1208,0,,,
C149,212.500,21.400,90,2203-010086,,1,R5750_CAP_ms_V2,SMD,,E1208,0,,,
C222,208.700,126.100,0,2203-007275,,1,R1005_ms_V5,SMD,,P0802,0,,,
C223,275.800,123.700,0,2203-007275,,1,R1005_ms_V5,SMD,,P0802,0,,,
C228,217.000,109.800,90,2203-006407,,1,R3216_CAP_ms_V1,SMD,,E0804_L,0,,,
C229,219.200,109.800,90,2203-006407,,1,R3216_CAP_ms_V1,SMD,,E0804_L,0,,,
C230,221.400,109.800,90,2203-006407,,1,R3216_CAP_ms_V1,SMD,,E0804_L,0,,,
C231,223.600,109.800,90,2203-006407,,1,R3216_CAP_ms_V1,SMD,,E0804_L,0,,,
C232,225.800,109.800,90,2203-006407,,1,R3216_CAP_ms_V1,SMD,,E0804_L,0,,,
C233,228.000,109.800,90,2203-006407,,1,R3216_CAP_ms_V1,SMD,,E0804_L,0,,,
C234,256.500,109.800,90,2203-006407,,1,R3216_CAP_ms_V1,SMD,,E0804_L,0,,,
C235,258.700,109.800,90,2203-006407,,1,R3216_CAP_ms_V1,SMD,,E0804_L,0,,,
C236,260.900,109.800,90,2203-006407,,1,R3216_CAP_ms_V1,SMD,,E0804_L,0,,,
C237,263.100,109.800,90,2203-006407,,1,R3216_CAP_ms_V1,SMD,,E0804_L,0,,,
C238,265.300,109.800,90,2203-006407,,1,R3216_CAP_ms_V1,SMD,,E0804_L,0,,,
C239,267.500,109.800,90,2203-006407,,1,R3216_CAP_ms_V1,SMD,,E0804_L,0,,,
C277,224.300,16.400,90,2203-010086,,1,R5750_CAP_ms_V2,SMD,,E1208,0,,,
C278,218.400,21.400,90,2203-010086,,1,R5750_CAP_ms_V2,SMD,,E1208,0,,,
C279,26.700,38.400,0,2203-010067,,1,R4520_CAP_ms_V1,SMD,,E1204_L,0,,,
CS17,23.900,34.650,90,0202-001950,,1,CS2012_SD_D,SMD,,P0804,0,,,
CS18,43.100,34.650,90,0202-001950,,1,CS2012_SD_D,SMD,,P0804,0,,,
CS19,13.900,33.800,90,0202-001950,,1,CS2012_SD_D,SMD,,P0804,0,,,
CS20,22.100,33.800,90,0202-001950,,1,CS2012_SD_D,SMD,,P0804,0,,,
CS21,23.900,30.650,90,0202-001950,,1,CS2012_SD_D,SMD,,P0804,0,,,
CS22,43.100,30.650,90,0202-001950,,1,CS2012_SD_D,SMD,,P0804,0,,,
CS23,22.100,31.400,90,0202-001950,,1,CS2012_SD_D,SMD,,P0804,0,,,
CS24,13.900,31.400,90,0202-001950,,1,CS2012_SD_D,SMD,,P0804,0,,,
D33,210.400,124.000,180,0404-001172,,1,sod523_w1.6x0.8,SMD,,E0804_L,0,,,
