Job Name,EP94-04794A_PP3235-77A_T_01B,Type,Board No.,Ref.,Pos X,Pos Y,Mark Name,ASSIGN,,,,,,
X,360,Fiducial,0,V1,335.000,135.500,M1,NXT16M,,,,,,
Y,159,Fiducial,0,V2,29.500,19.000,M1,NXT16M,,,,,,
T,2,Panel ID,0,PSN,349.000,80.500,2D Label,,,,,,,
Level,Ref.,Pos X,Pos Y,,,,,,,,,,,
Global,BackupPin1,,,,,,,,,,,,,
Global,BackupPin2,,,,,,,,,,,,,
Global,BackupPin3,,,,,,,,,,,,,
Global,BackupPin4,,,,,,,,,,,,,
Global,BackupPin5,,,,,,,,,,,,,
Global,BackupPin6,,,,,,,,,,,,,
Global,BackupPin7,,,,,,,,,,,,,
Global,BackupPin8,,,,,,,,,,,,,
Global,BackupPin9,,,,,,,,,,,,,
Global,BackupPin10,,,,,,,,,,,,,
Global,BackupPin11,,,,,,,,,,,,,
Global,BackupPin12,,,,,,,,,,,,,
Global,BackupPin13,,,,,,,,,,,,,
Global,BackupPin14,,,,,,,,,,,,,
Global,BackupPin15,,,,,,,,,,,,,
Global,BackupPin16,,,,,,,,,,,,,
Global,BackupPin17,,,,,,,,,,,,,
Global,BackupPin18,,,,,,,,,,,,,
Global,BackupPin19,,,,,,,,,,,,,
Global,BackupPin20,,,,,,,,,,,,,
Ref.,Pos X,Pos Y,Rotation,Part Number,Place Before,Board,Part Name,Cond,Vender,Feeder,Pos Z,Carry Mode,Stack Target,
C1,99.000,145.900,90,2203-010040,,1,R3225_CAP_ms_V1,SMD,,E0804_L,0,,,
C10,126.000,145.900,90,2203-010040,,1,R3225_CAP_ms_V1,SMD,,E0804_L,0,,,
C100,225.600,88.700,90,2203-005249,,1,R1608_CAP_ms_V1,SMD,,P0804,0,,,
C101,226.900,88.700,90,2203-006698,,1,R1608_CAP_ms_V1,SMD,,P0804,0,,,
C102,230.000,88.700,90,2203-006698,,1,R1608_CAP_ms_V1,SMD,,P0804,0,,,
C103,232.400,88.700,90,2203-006698,,1,R1608_CAP_ms_V1,SMD,,P0804,0,,,
C104,233.600,88.700,90,2203-005249,,1,R1608_CAP_ms_V1,SMD,,P0804,0,,,
C105,244.500,88.900,90,2203-002285,,1,R1005_ms_V5,SMD,,P0802,0,,,
C106,245.600,89.000,90,2203-005249,,1,R1608_CAP_ms_V1,SMD,,P0804,0,,,
C107,58.500,74.800,0,2203-007843,,1,R1608_CAP_ms_V1,SMD,,P0804,0,,,
C108,70.200,86.000,90,2203-005249,,1,R1608_CAP_ms_V1,SMD,,P0804,0,,,
C109,223.400,86.800,0,2203-005083,,1,R1608_CAP_ms_V1,SMD,,P0804_L,0,,,
C11,129.000,145.900,90,2203-010040,,1,R3225_CAP_ms_V1,SMD,,E0804_L,0,,,
C110,233.700,86.700,90,2203-000812,,1,R1005_ms_V5,SMD,,P0802,0,,,
C113,54.500,73.500,0,2203-008386,,1,R1005_ms_V5,SMD,,P0802,0,,,
C115,77.100,82.700,90,2203-007132,,1,R3216_CAP_ms_V1,SMD,,E0804_L,0,,,
C116,224.000,84.900,90,2203-005083,,1,R1608_CAP_ms_V1,SMD,,P0804_L,0,,,
C117,233.700,85.000,90,2203-000812,,1,R1005_ms_V5,SMD,,P0802,0,,,
C12,132.000,145.900,90,2203-010040,,1,R3225_CAP_ms_V1,SMD,,E0804_L,0,,,
C120,60.500,70.500,90,2203-007462,,1,R2012_CAP_ms_V2,SMD,,E0804_L,0,,,
C121,62.200,70.500,90,2203-007462,,1,R2012_CAP_ms_V2,SMD,,E0804_L,0,,,
C122,267.900,87.000,0,2203-010040,,1,R3225_CAP_ms_V1,SMD,,E0804_L,0,,,
C123,272.000,87.000,0,2203-010040,,1,R3225_CAP_ms_V1,SMD,,E0804_L,0,,,
C124,58.500,68.000,90,2203-000254,,1,R1005_ms_V5,SMD,,P0802,0,,,
C125,267.900,84.000,0,2203-010040,,1,R3225_CAP_ms_V1,SMD,,E0804_L,0,,,
C126,272.000,84.000,0,2203-010040,,1,R3225_CAP_ms_V1,SMD,,E0804_L,0,,,
C127,173.300,74.500,0,2203-007462,,1,R2012_CAP_ms_V2,SMD,,E0804_L,0,,,
C128,267.900,81.000,0,2203-010040,,1,R3225_CAP_ms_V1,SMD,,E0804_L,0,,,
C129,272.000,81.000,0,2203-010040,,1,R3225_CAP_ms_V1,SMD,,E0804_L,0,,,
C13,135.000,145.900,90,2203-010040,,1,R3225_CAP_ms_V1,SMD,,E0804_L,0,,,
C130,177.100,72.800,90,2203-006158,,1,R1005_ms_V5,SMD,,P0802,0,,,
